project,low_risk,intermediate_risk,high_risk
BLCA,"Bladder urothelial carcinoma is generally confined to the lamina propria or muscularis propria without extension into perivesical fat or adjacent pelvic structures. Tumors may range from well to poorly differentiated but remain limited in spread, with margins negative when assessable. Regional lymph nodes are typically negative for metastasis, though cases with no nodal sampling (NX) are acceptable in this category.","The bladder tumor demonstrates invasion through the muscularis propria with extension into perivesical fat but without frank infiltration of adjacent pelvic organs. Lesions are most often high-grade and poorly differentiated, with variable features such as lymphovascular invasion. Regional lymph nodes may show either no involvement despite extensive sampling or limited positivity in a small number of nodes. Surgical margins are generally free of carcinoma, indicating complete resection.","Bladder carcinoma at this stage is large and poorly differentiated, with extensive atypia and loss of urothelial features. There is clear invasion beyond the bladder wall into perivesical adipose tissue and often direct extension into adjacent pelvic organs. Lymphovascular or perineural invasion is frequent, and multiple regional lymph nodes are usually positive for metastasis. Surgical margins may be close or overtly involved, raising concern for residual disease."
BRCA,"Breast carcinoma in this category is generally confined to the breast parenchyma, with no gross invasion into skin, nipple, or chest wall. Tumors are usually well to moderately differentiated, showing preserved glandular features and limited atypia. Regional lymph nodes are negative when assessed or not submitted, and surgical margins are clear, indicating complete resection without residual disease.","These tumors display moderately to poorly differentiated morphology, with greater atypia and partial loss of glandular structure. Invasion may extend into surrounding adipose tissue, dermis, or nipple but without extensive chest wall involvement. A small number of regional lymph nodes may be positive for metastasis, sometimes with extracapsular spread, or margins may be close or focally involved. Such features indicate locally advanced but potentially controllable disease.","High-risk breast carcinoma is characterized by large or multifocal lesions, often poorly differentiated with marked atypia, necrosis, or loss of glandular architecture. There is clear invasion into skin, chest wall, or adjacent structures, frequently accompanied by vascular or perineural invasion. Multiple regional lymph nodes are involved, often with extranodal extension, and surgical margins may be involved or threatened, consistent with advanced disease and high risk of recurrence."
COADREAD,"Colorectal carcinoma in this category is confined to the bowel wall or extends only into pericolonic soft tissue without frank invasion of adjacent organs. The tumor is typically well to moderately differentiated, with preserved glandular features and limited atypia. Regional lymph nodes are negative when sampled, or show only isolated involvement, and resection margins are free of carcinoma, consistent with complete excision. Vascular or perineural invasion is absent or minimal.","Colorectal carcinoma at intermediate risk demonstrates invasion through the muscularis propria with extension into pericolonic adipose tissue, serosa, or focal involvement of adjacent structures. Tumors are moderately to poorly differentiated, with reduced gland formation and increased atypia. A limited number of regional lymph nodes may be positive for metastasis, or vascular/perineural invasion may be present. Margins are usually uninvolved, though disease is locally advanced and carries a higher likelihood of progression.","High-risk colorectal carcinoma shows poorly differentiated or mucinous/signet-ring features, with marked atypia, necrosis, and loss of glandular architecture. There is deep, transmural invasion with perforation of the visceral peritoneum or direct extension into adjacent organs, often accompanied by vascular or perineural invasion. Multiple regional lymph nodes are positive for metastasis, and margins may be close or involved, reflecting advanced disease with high potential for recurrence and systemic spread."
GBMLGG,"Gliomas in this category are generally low-grade (WHO II) and show well to moderately differentiated histology with limited atypia and relatively low mitotic activity. They are typically confined to the brain parenchyma without frank invasion into deep structures, ventricles, or leptomeninges. Regional lymph node assessment is not applicable, and when margins are documented, they are usually free of tumor, consistent with complete or near-complete resection.","These gliomas demonstrate higher-grade features (WHO III–IV) with increased cellularity, atypia, and mitotic activity, often with focal necrosis. Infiltrative growth into adjacent white matter or cortical structures may be seen, though without extensive or diffuse invasion across major anatomic boundaries. Lymph node involvement is not expected, and margins are typically negative or not assessable, reflecting resection of locally advanced but still potentially controlled disease.","High-risk gliomas are poorly differentiated, frequently WHO grade IV, with marked atypia, high proliferative indices, and necrosis. They often show diffuse or deep infiltration into critical brain regions, such as ventricles, meninges, or contralateral hemispheres, reflecting aggressive local spread. Lymph node metastasis is exceedingly rare, but surgical margins may be close or involved, raising concern for residual disease and poor prognosis."
HNSC,"Head and neck squamous cell carcinoma at this level is generally limited in size and demonstrates well to moderately differentiated morphology with preserved keratinization and moderate atypia. Invasion is restricted to superficial mucosa or focal soft tissue without frank penetration into cartilage, bone, or adjacent organs. Regional lymph nodes are negative when assessed or show only minimal involvement, and resection margins are typically uninvolved, consistent with complete excision.","Tumors in this group show moderate to larger size and often demonstrate moderately to poorly differentiated histology with reduced keratinization and greater atypia. There is evidence of invasion into adjacent soft tissue or cartilage, and regional lymph node metastasis is more common, sometimes with early extracapsular spread. Surgical margins are usually negative but may be close, reflecting locally advanced disease that remains potentially controllable with complete resection.","Advanced head and neck squamous carcinomas are characterized by large or deeply infiltrative growth with poor differentiation, extensive atypia, necrosis, or absent keratinization. There is clear invasion into bone, salivary tissue, or critical adjacent structures such as the larynx, mandible, or skull base. Regional nodal metastasis is extensive, often with multiple positive nodes and extranodal extension, and surgical margins are frequently close or involved, raising concern for residual or recurrent disease."
KIRC,"Renal cell carcinoma in this category is confined to the kidney or shows only limited sinus or capsular involvement without frank invasion of perinephric fat, adrenal gland, or major vessels. Tumors are typically well to moderately differentiated (ISUP/Fuhrman grade 1–2, though focal higher grade areas may occur). Regional lymph nodes, when sampled, are negative or not submitted, and resection margins including vascular and soft tissue margins are uninvolved. These findings support a localized, low-risk profile.","Tumors in this group exhibit moderately to poorly differentiated features (ISUP/Fuhrman grade 2–3) and may extend into perinephric or renal sinus fat, pelvicalyceal system, or renal vein, but without extensive extra-renal spread. Surgical margins are usually negative, though margins may be close in some cases. Regional lymph nodes may be uninvolved, not submitted, or rarely show limited metastasis. These characteristics indicate locally advanced but potentially controlled disease, consistent with an intermediate risk level.","High-risk renal carcinoma demonstrates poorly differentiated or high-grade morphology (ISUP/Fuhrman grade 3–4), often with marked atypia, necrosis, or sarcomatoid change. There is clear evidence of aggressive spread, including invasion into perinephric fat, renal sinus, adrenal gland, or major vessels such as the renal vein or inferior vena cava. Margins may be close or involved, and regional lymph nodes frequently show metastatic disease with or without extracapsular extension. These features define advanced, high-risk disease."
KIRP,"Papillary renal cell carcinoma in this category is generally confined to the kidney, without invasion of perinephric fat, renal sinus, adrenal gland, or major vessels. Tumors are usually well to moderately differentiated, sometimes even of larger size, but lack extrarenal extension. Regional lymph nodes, when assessed, are negative for metastasis or not sampled (NX). Surgical margins are clear, consistent with complete resection.","These tumors show locally advanced growth with extension beyond the renal parenchyma into perinephric or renal sinus fat, or focal invasion of the renal pelvis or capsule, but without frank spread to adjacent organs. Histology is moderately to poorly differentiated with higher nuclear grades and more atypia. Lymph node involvement may be present, often limited in number, and vascular invasion is sometimes identified. Margins are generally negative but may approach vascular or soft-tissue interfaces.","High-risk disease is characterized by poorly differentiated papillary carcinoma with marked atypia, necrosis, or sarcomatoid features. There is clear evidence of aggressive extension into perinephric fat, renal sinus, renal vein or inferior vena cava, and occasionally adrenal gland or hilar fat. Regional lymph node metastases are common and often extensive, with extranodal extension possible. Surgical margins may be positive or threatened, indicating risk of residual disease."
LIHC,"Hepatocellular carcinoma is typically confined to the liver parenchyma without invasion into major vascular structures, bile ducts, or adjacent organs. Tumors may vary in size and grade, but surgical margins are uninvolved, and regional lymph nodes are negative for metastasis when assessed (NX acceptable). These cases reflect complete resection and localized disease without aggressive features.","The hepatic tumor demonstrates moderately to poorly differentiated morphology and may be associated with microvascular or focal portal venous invasion. The disease remains confined to the liver without frank extension into adjacent organs, and margins are usually clear, though the presence of vascular invasion increases recurrence risk. Regional lymph nodes are generally negative or not sampled, representing locally advanced but still controlled disease.","Hepatocellular carcinoma at this stage is poorly differentiated or multifocal, often with satellite nodules, extensive vascular invasion, or bile duct involvement. The tumor may be large or infiltrative, sometimes approaching adjacent structures, and nodal status may be positive or indeterminate. Surgical margins can be close or involved, raising concern for residual disease and aggressive clinical behavior."
LUAD,"Lung adenocarcinoma at this stage is generally limited in extent, with growth confined to the lung parenchyma and without frank invasion into the chest wall, mediastinum, or diaphragm. Tumors are often well to moderately differentiated, though poorly differentiated lesions can occasionally present with only visceral pleural or vascular invasion. Regional lymph nodes are negative when assessed, and surgical margins are uninvolved, consistent with complete resection (R0).","The tumor shows greater biological aggressiveness, with moderately to poorly differentiated features and variable pleural or vascular involvement. Extension may be present into visceral pleura or peribronchial tissues, but there is no widespread invasion of adjacent organs. Lymph node status is heterogeneous, ranging from negative findings despite invasive morphology to limited involvement of regional nodes. Resection margins are generally negative, reflecting controlled but regionally advanced disease.","Lung adenocarcinoma in this category demonstrates high-grade morphology, with poor differentiation, marked atypia, and high mitotic activity. There is clear evidence of invasion into adjacent structures such as bronchus, chest wall, or mediastinum, and multiple regional lymph nodes are often positive for metastatic carcinoma. Surgical margins may be close or involved, raising concern for residual disease and reflecting advanced local and regional spread."
LUSC,"Pulmonary squamous cell carcinoma is confined to the lung parenchyma with no extension into the chest wall, mediastinum, or other adjacent structures. The tumor is typically small to moderate in size and may range from well to poorly differentiated, but regional lymph nodes are negative when examined. Surgical margins are clear, and vascular or perineural invasion is absent, consistent with localized disease amenable to complete resection.","The squamous carcinoma shows locally advanced features, such as invasion into the visceral pleura, bronchial wall, or adjacent soft tissue, and may display vascular or perineural invasion. Tumors are generally moderate to large in size and often moderately to poorly differentiated. Regional lymph nodes may show limited involvement, or margins may be close though typically uninvolved, reflecting disease that is controlled but not confined.","Lung squamous carcinoma demonstrates aggressive biology, often large or infiltrative and poorly differentiated, with extensive atypia and loss of keratinization. There is clear evidence of spread beyond the lung parenchyma into structures such as the pleura, chest wall, or mediastinum, and regional lymph nodes are frequently positive for metastasis. Surgical margins may be close or involved, and vascular or perineural invasion is often present, consistent with advanced disease and higher risk of recurrence."
