project,low_risk,intermediate_risk,high_risk
BLCA,"Bladder urothelial carcinoma in this group is typically confined to the bladder wall without extensive spread. Tumors may involve the lamina propria or muscularis propria but do not extend widely into perivesical fat or adjacent pelvic organs. Differentiation is often moderate to high grade, yet the disease remains organ-confined with absent or limited lymphovascular or perineural invasion. Regional lymph nodes, when examined, are negative or only minimally involved, and extracapsular extension is not present. Surgical margins are usually free of tumor, though focal or superficial margin involvement may occasionally be seen without widespread residual disease. Distant metastasis is absent. This profile reflects disease that is clinically significant but contained within the primary site or immediate regional nodes.","Carcinomas in this category demonstrate definite invasion beyond the muscularis propria into perivesical fat, often with focal extension toward adjacent soft tissue or pelvic structures such as prostate or periprostatic tissue. They are usually high grade and frequently associated with lymphovascular invasion, with limited regional lymph node involvement possible. Margins are generally uninvolved, though tumors may approach close to the inked edges. Distant metastasis is not observed. Overall, this represents locally advanced disease with either early regional spread or high-risk histologic features, but without widespread nodal burden or systemic dissemination.","Bladder carcinoma at this stage is aggressive and infiltrative, often large and poorly differentiated. The tumor extends beyond the bladder wall into perivesical fat and frequently into adjacent pelvic organs such as prostate, urethra, or surrounding soft tissues. Lymphovascular and perineural invasion are common, and multiple lymph nodes are typically positive for metastasis, sometimes with extracapsular extension. Surgical margins may be close or overtly involved, indicating incomplete containment. Distant metastasis may also be present or suspected. This profile represents advanced disease with high tumor burden, significant regional spread, and systemic potential, consistent with poor prognosis."
BRCA,"Breast carcinoma in this group is typically confined to the breast parenchyma without frank extension into the chest wall, skeletal muscle, or skin. Tumors are usually small to moderate in size and well to moderately differentiated, with low to intermediate nuclear atypia and mitotic activity. Lymphovascular or perineural invasion is absent or minimal, and surgical margins are free of carcinoma. Regional lymph nodes are negative when examined, and cases without nodal assessment (NX) remain acceptable in this category. These findings are consistent with early-stage disease that is surgically controlled and has limited risk of systemic progression.","Tumors in this category show broader local involvement within the breast and may extend to the dermis, nipple, or superficial structures, though without extensive invasion of chest wall or systemic dissemination. Histology is often grade 2–3 with moderate to marked atypia and variable mitotic activity. Lymphovascular invasion is commonly present, and perineural invasion may also be seen. Surgical margins are close or focally involved, raising concern for residual disease. Regional lymph nodes demonstrate limited metastatic spread, typically involving up to a few nodes, sometimes with extracapsular extension. These cases represent locally advanced disease with increased risk of recurrence but remain potentially manageable with complete multimodality therapy.","High-risk breast carcinoma is marked by aggressive morphology and extensive spread. Tumors are generally large or infiltrative, poorly differentiated (grade 3), with prominent atypia, brisk mitoses, and often necrosis. There is invasion into critical adjacent structures such as skin, nipple, or chest wall, with frequent lymphovascular and perineural permeation. Margins may be involved despite wide resection, and nodal disease is heavy, often with multiple positive or matted nodes and extracapsular extension. Distant metastasis may also be present at diagnosis. These features reflect advanced disease with high risk for systemic progression and poor prognosis without intensive treatment."
COADREAD,"Low-risk colorectal carcinoma typically shows well to moderately differentiated adenocarcinoma with preserved glandular architecture and only limited cytologic atypia. Tumor growth is confined to the bowel wall and pericolonic fat, with invasion not extending to adjacent organs or through the visceral peritoneal surface. Lymphovascular and perineural invasion are absent or rare. Regional lymph nodes are either entirely negative or show only minimal involvement in a single node without extracapsular spread. Surgical margins, including radial and soft tissue planes, are free of carcinoma, reflecting complete resection. Even when tumors are large or display focal mucinous change, the lack of adverse features such as multiple nodal metastases, margin involvement, or extensive invasion supports a favorable, low-risk profile.","Intermediate-risk colorectal carcinoma is characterized by moderately to poorly differentiated histology with partial loss of gland formation, variable atypia, and occasional necrosis. The tumor often extends beyond the muscularis propria into pericolonic fat, subserosa, or the visceral peritoneal surface, and may show focal invasion into adjacent structures. Vascular or perineural invasion is frequently present. Regional lymph nodes show limited metastasis, often involving one to several nodes, though sometimes absent after thorough sampling. Margins remain uninvolved in most cases, indicating technically complete excision despite locally advanced disease. Distant metastasis may be absent or limited to a single site at diagnosis. This constellation reflects an intermediate course, with controlled local disease but increased risk for recurrence or progression.","High-risk colorectal carcinoma demonstrates aggressive morphology, including poor differentiation, mucinous or signet-ring features, and marked cytologic atypia with architectural disarray. Tumors show deep invasion through the bowel wall with direct extension into adjacent organs, perforation of the visceral peritoneum, or extensive involvement of pericolonic tissues. Lymphovascular and perineural invasion are common. Regional lymph nodes are frequently involved, often multiple, and margins may be close or positive, particularly at the radial or soft tissue planes. Distant metastases are often identified, affecting liver, omentum, or other sites. These features define biologically aggressive disease with a high likelihood of recurrence, progression, and poor clinical outcome."
GBMLGG,"Diffuse low-grade gliomas (WHO grade II), including oligodendrogliomas and astrocytomas, typically show well-differentiated glial morphology with limited cytologic atypia and low mitotic activity. Necrosis and microvascular proliferation are absent, and proliferation indices remain low, often under 5%. These tumors infiltrate adjacent brain parenchyma in a diffuse fashion but generally lack frank invasion into deep or critical structures, and extracranial spread does not occur. Margins are difficult to define due to the infiltrative nature, though gross total resection may be achieved in some cases. When molecular testing is available, features such as 1p/19q codeletion or IDH mutation are often present and may confer more favorable prognosis.","Anaplastic gliomas (WHO grade III) display more pronounced atypia, increased cellularity, and elevated mitotic activity, with occasional microvascular proliferation but limited or absent necrosis. These tumors often extend into eloquent or midline structures such as the corpus callosum, and complete resection is rarely feasible, with residual disease common. Proliferation indices are moderate to high, usually exceeding those of grade II gliomas, reflecting greater biological aggressiveness. Margins are nearly always involved because of diffuse infiltration, though spread remains largely confined to the central nervous system without extracranial metastasis. Molecular studies may show IDH mutations or MGMT promoter methylation, but outcomes remain intermediate between low-grade gliomas and glioblastomas.","Glioblastomas (WHO grade IV) are highly aggressive neoplasms characterized by poor differentiation, marked nuclear atypia, brisk mitotic activity, and the presence of both extensive necrosis and microvascular proliferation. They frequently infiltrate across multiple lobes or involve deep structures such as the thalamus, basal ganglia, or brainstem, often precluding meaningful resection. Surgical margins are essentially always positive due to pervasive infiltration, and residual disease is expected. Proliferation indices are high, and molecular features such as IDH-wildtype status and EGFR amplification are common, correlating with poor prognosis. Though extracranial metastasis is rare, leptomeningeal dissemination may occur, underscoring the aggressive clinical behavior."
HNSC,"Head and neck squamous cell carcinoma in this category is generally small to moderate in size and shows well to moderately differentiated histology with preserved squamous features and limited atypia. Invasion is confined to the mucosa or superficial soft tissues, or may show only focal extension into adjacent structures without frank involvement of bone, cartilage, or deep musculature. Lymphovascular and perineural invasion are absent or limited. Surgical margins are free of tumor or narrowly clear. Regional lymph nodes are negative for metastasis when examined, or not sampled, and there is no evidence of distant spread. The overall profile corresponds to early-stage disease with favorable prognosis.","Tumors in this group are typically moderate to large and often show moderately to poorly differentiated histology, with greater nuclear atypia and variable keratinization. They demonstrate invasion into deeper soft tissues, minor salivary glands, or bone/cartilage, but without diffuse or destructive extension into multiple compartments. Lymphovascular and/or perineural invasion is more frequently encountered. Surgical margins are usually negative but may be close, and regional lymph nodes often contain a limited number of metastases, sometimes with early extranodal extension. Distant metastasis is not identified. The disease generally corresponds to locally advanced stage with moderate nodal burden and intermediate prognosis.","High-risk head and neck squamous cell carcinoma is characterized by large size, poorly differentiated morphology, and aggressive histologic features such as marked atypia, necrosis, and brisk mitotic activity. There is extensive invasion into bone, cartilage, salivary tissue, or deep soft tissue planes. Lymphovascular and perineural invasion are common, and surgical margins may be close or overtly involved. Nodal disease is substantial, with multiple lymph nodes positive and frequent extranodal extension. Distant metastasis may be present or suspected. The pathologic stage corresponds to advanced disease with high risk of recurrence and poor prognosis."
KIRC,"Renal cell carcinoma in this group remains largely confined to the kidney, with growth limited to the renal parenchyma or focal extension into renal sinus or perinephric tissues but without frank invasion of adjacent organs. Tumors are typically small to moderate in size and demonstrate low to intermediate nuclear grade, though higher grade areas may be present without translating into aggressive spread. Lymphovascular and perineural invasion are absent or minimal. Surgical margins are uninvolved, and regional nodes are negative when examined or not assessed (Nx). Distant metastasis is not documented. This constellation reflects localized disease with indolent or controlled features despite occasional high-grade morphology.","Renal cell carcinoma at this level shows evidence of more advanced local disease, including extension into the renal capsule, sinus, perinephric fat, or renal vein, but without unequivocal invasion into adjacent organs. Tumors are often moderate to large in size, with intermediate to high nuclear grade and variable necrosis. Lymphovascular invasion is more common, and resection margins are negative though sometimes close. Regional nodes may be limitedly positive when sampled, or not assessed. Distant metastasis is absent or not clearly reported. These cases correspond to locally advanced but surgically resectable carcinoma with features that confer increased risk of progression.","Renal cell carcinoma in this group demonstrates aggressive biological and morphological behavior. Tumors are usually large and high grade, with marked atypia, necrosis, and invasion extending beyond the kidney into perinephric tissues, renal sinus, major vessels, or directly into adjacent organs. Lymphovascular invasion is frequent, margins may be close or focally involved, and regional lymph nodes are often positive, sometimes with extracapsular extension. Distant metastases are common, involving organs such as lung, bone, adrenal, or liver. This profile reflects advanced or disseminated disease with poor prognosis and high risk of recurrence or progression."
KIRP,"Papillary renal cell carcinoma in this category is confined to the kidney without extension beyond the renal parenchyma or capsule. Tumors are usually well to moderately differentiated, with limited nuclear atypia, absent or minimal necrosis, and low mitotic activity. Invasion of perinephric or sinus fat, adrenal gland, or major vessels is not identified. Lymphovascular and perineural invasion are absent, and surgical margins, including vascular and soft tissue margins, are uninvolved. Regional lymph nodes, when sampled, are negative for metastasis; cases with NX status are acceptable if no evidence of spread is present. Distant metastasis is not described. These features represent localized, organ-confined disease with a favorable profile.","Tumors in this group demonstrate locally advanced features while remaining limited to Gerota’s fascia. Carcinoma may invade into perinephric or renal sinus adipose tissue and can extend into the renal vein or pelvis, though without spread beyond Gerota’s fascia or into adjacent organs. Differentiation is moderate to high grade with variable atypia, and focal necrosis is often seen. Lymphovascular invasion is commonly present, and regional lymph nodes may be involved by metastasis, sometimes with perinodal extension, although the number of positive nodes is limited. Surgical margins are generally negative but may be close or occasionally positive at vascular sites. Distant metastasis is not identified. Overall, these findings indicate disease that has progressed beyond the kidney but remains regionally confined.","High-risk papillary renal cell carcinoma is characterized by poorly differentiated or sarcomatoid morphology, marked nuclear atypia, and frequent necrosis. The tumor shows aggressive local invasion, extending beyond Gerota’s fascia into adjacent organs, adrenal gland, or major vascular structures such as the renal vein and inferior vena cava. Lymphovascular involvement is extensive, and surgical margins, particularly vascular margins, may be positive. Multiple regional lymph nodes are usually involved, often with extracapsular extension, and nodal burden is typically high. Distant metastases may also be present. Together, these features define advanced, aggressive disease with systemic risk."
LIHC,"Hepatocellular carcinoma in this category is typically solitary and confined within the liver parenchyma, without invasion into major vascular structures, bile ducts, or adjacent organs. Tumors are usually well to moderately differentiated, with limited cytologic atypia and absent or minimal necrosis. Lymphovascular and perineural invasion are not identified, and surgical resection margins are uninvolved by tumor with adequate clearance. Regional lymph nodes, when sampled, are negative for metastasis, though many cases are NX. Distant spread is not described. Overall, these tumors correspond to localized disease with complete resection and favorable histopathologic features.","Hepatocellular carcinoma in this group may be multifocal or moderately advanced in size, and the histology often shows moderate to poor differentiation. Microvascular invasion or capsular infiltration is commonly present, and small-vessel or early portal venous involvement may be identified, but there is no gross vascular thrombus or frank extension into adjacent organs. Necrosis or satellite nodules can occur, but the tumor remains largely contained within the liver. Surgical margins are generally free of carcinoma, though some margins may be close or indeterminate. Regional lymph nodes are usually negative or not sampled, with only rare limited involvement possible. Distant metastasis is not evident, but the disease reflects a higher-risk localized or regionally advanced stage with more aggressive histology and vascular involvement.","Hepatocellular carcinoma in this category demonstrates large or multifocal disease, often with a dominant mass and additional satellite nodules. Tumors are usually poorly differentiated or show aggressive histologic patterns, with high proliferative activity and necrosis. Extensive vascular invasion, including major vessel involvement or tumor thrombus, is frequent, and direct extension into the capsule or adjacent structures may occur. Surgical margins may be close or involved, and regional lymph nodes can show metastasis, with or without extracapsular extension. While distant metastasis is variably reported, spread to lung, bone, or peritoneum is possible. These features indicate advanced pathological stage, aggressive biology, and a high risk of recurrence or progression."
LUAD,"Early-stage lung adenocarcinoma in this category typically presents as a small to moderate lesion that is well to moderately differentiated, though focal areas of higher-grade morphology may be seen. Invasion is usually limited to the visceral pleura or confined to adjacent parenchyma without frank extension into mediastinal or chest wall structures. Lymphovascular or perineural invasion is absent or minimal, and resection margins are free of carcinoma. Regional lymph nodes, when sampled, are generally negative or only rarely show limited involvement without extracapsular extension; cases with NX status may also be included if no adverse features are described. Distant metastasis is not identified, and the overall profile is consistent with localized, resected carcinoma carrying a relatively favorable prognosis.","Intermediate-risk tumors show more advanced features, with moderate to poor differentiation and a greater likelihood of pleural or bronchial involvement. Invasion often extends into the visceral pleura or bronchial wall and may approach but not extensively breach adjacent mediastinal structures. Lymphovascular invasion is frequently identified, and regional lymph node metastasis is present in some cases, though nodal burden remains limited and extracapsular spread is generally absent. Margins are usually negative, but close margins may be noted. No evidence of distant metastasis is typically seen. This pattern reflects regionally advanced disease where resection has controlled gross spread but important adverse risk factors remain.","High-risk lung adenocarcinomas are characterized by large or infiltrative tumors with poor differentiation, extensive atypia, and high proliferative potential. These tumors frequently extend beyond the pleura into adjacent organs or mediastinal structures, or they involve major bronchi with destructive growth. Lymphovascular and perineural invasion are common, and nodal metastasis is frequent, often with multiple nodes involved or extracapsular extension. Surgical margins may be close or overtly involved, and distant metastasis may also be present. Collectively, these features define aggressive, advanced-stage disease associated with a high likelihood of recurrence and poor clinical outcome."
LUSC,"Lung squamous cell carcinoma in this group remains confined to the lung parenchyma or bronchial tree without frank invasion into the chest wall, mediastinum, or diaphragm. Tumors are generally small to moderate in size and show well to moderately differentiated histology, sometimes with focal poor differentiation but without extensive atypia or necrosis. Lymphovascular or perineural invasion is absent or minimal, and resection margins are clear. Regional lymph nodes, when examined, are negative for metastasis, and NX status is acceptable. Distant spread is not identified. These findings correspond to early-stage, completely resected disease with a favorable prognosis.","Squamous cell carcinoma of the lung in this category demonstrates moderately to poorly differentiated morphology, often with invasion into visceral pleura, bronchus, or peribronchial tissue, and occasionally into chest wall or rib but without diffuse mediastinal or diaphragmatic involvement. Lymphovascular or perineural invasion may be present, and a limited number of regional lymph nodes can be positive for metastasis, though margins are usually negative. Distant metastasis is not seen. These tumors represent locally advanced disease with restricted nodal or structural spread but retained surgical control.","High-risk lung squamous cell carcinoma is characterized by poorly differentiated histology, often with large or infiltrative growth, extensive atypia, necrosis, and frequent mitoses. The tumor extends beyond the lung parenchyma into pleura, chest wall, or mediastinum, and margins may be close or involved. Regional lymph nodes are frequently positive for metastasis, sometimes with extracapsular extension, and lymphovascular invasion is common. Distant metastasis may be present or cannot be excluded. This pattern reflects aggressive, advanced disease with poor prognosis."
